127.0.0.1 - - [01/Oct/2016:09:24:34 +0100] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:32:05 +0100] "GET /MedicalGap/resources/images/icone_profil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:32:05 +0100] "GET /MedicalGap/resources/images/icone_add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:32:05 +0100] "GET /MedicalGap/resources/images/pattable.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:32:05 +0100] "GET /MedicalGap/resources/images/icone_edit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:32:05 +0100] "GET /MedicalGap/resources/images/icone_delete.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:32:05 +0100] "GET /MedicalGap/resources/images/pat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:36:17 +0100] "GET /MedicalGap/admin/admin HTTP/1.1" 200 187737
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:43:34 +0100] "GET /MedicalGap/resources/css/bootstrap.min.css.map HTTP/1.1" 404 960
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:47:19 +0100] "GET /MedicalGap/profil HTTP/1.1" 200 20852
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:49:14 +0100] "GET /MedicalGap/admin/admin HTTP/1.1" 200 187737
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:49:43 +0100] "GET /MedicalGap/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:49:43 +0100] "GET /MedicalGap/login?logout&categorieSession=Breast+Cancer HTTP/1.1" 200 5060
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:49:49 +0100] "POST /MedicalGap/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:49:49 +0100] "GET /MedicalGap/index HTTP/1.1" 200 15209
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:49:54 +0100] "POST /MedicalGap/redirectCat HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:49:54 +0100] "GET /MedicalGap/registres/registre HTTP/1.1" 200 40784
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:51:37 +0100] "GET /MedicalGap/index HTTP/1.1" 200 15209
